SampleID,Actual log1p PCN,Predicted log1p PCN,Actual_PCN,Predicted_PCN
3078,0.760128211,0.779808818,1.138550389,1.181055247
7529,1.595492486,1.435017572,3.930756803,3.199718806
5516,1.052676952,0.908793102,1.865311161,1.481326018
8644,2.299738862,2.984163729,8.971578157,18.76996228
4789,0.944871223,0.929227703,1.572482081,1.532552539
4132,0.870217559,0.983831201,1.387430204,1.674683889
5559,1.057995362,1.0990549,1.880590656,2.001328128
8383,2.125848301,2.600956049,7.380003239,12.47661618
1671,0.616452372,1.183496591,0.852344941,2.265773336
9635,2.96626359,3.716087419,18.41922568,40.10325926
4119,0.869001197,0.915791037,1.38452799,1.498751075
740,0.469811495,0.792689568,0.599692615,1.209330587
8480,2.187844462,2.900272478,7.915973666,17.1790981
360,0.375638727,0.682809837,0.455921054,0.979431806
3065,0.758680206,0.732980191,1.135455998,1.081273968
10893,4.640878424,3.594250434,102.6353434,35.38841424
4587,0.921061065,0.734207413,1.511954323,1.083829721
7508,1.587910923,1.721811777,3.893515312,4.594655556
2138,0.669289724,0.617300684,0.952849766,0.853916974
9336,2.764406446,2.024153522,14.86961772,6.569700647
1594,0.60605626,0.66942703,0.833187509,0.953117922
839,0.485791604,0.786236859,0.625461221,1.195120317
3520,0.805519904,1.175127308,1.237859669,2.238555212
5456,1.045093636,0.987020438,1.843664781,1.683227707
8583,2.26184073,1.991003423,8.600745292,6.322878021
1634,0.611490066,0.668635231,0.843175807,0.951572057
9675,2.992174356,2.945305903,18.92896809,18.01647869
9577,2.925476468,2.407559732,17.64310678,10.10682442
6134,1.156777565,0.843273372,2.179670468,1.323961731
4993,0.974318333,1.303964819,1.649360614,2.683873643
4176,0.876219963,0.663916049,1.401803619,0.942383931
5025,0.978837772,1.01110088,1.661361335,1.748625257
592,0.435309027,0.957442568,0.545440568,1.605025771
5900,1.113999798,0.782649367,2.04651952,1.187259449
5254,1.012980643,0.787347058,1.75379688,1.19755869
4053,0.86193488,2.044600442,1.367737552,6.726070908
7173,1.432780872,1.197417319,3.190335792,2.311553183
33,0.198977697,0.956142749,0.220154752,1.601641909
10950,4.92320055,2.979925919,136.4417993,18.68635821
4754,0.941164587,1.19588007,1.562964476,2.306466412
10842,4.48172528,3.874594966,87.38703359,47.16318661
4504,0.912081086,0.932939765,1.489498006,1.541971002
9335,2.762384878,3.619637425,14.83756861,36.32403261
7839,1.758900951,1.246374783,4.80605275,2.477712615
3328,0.785220736,1.010606281,1.192890937,1.747266125
3941,0.849201667,0.879302389,1.33777978,1.409218423
10629,4.024961763,3.456124239,54.9781683,30.69390018
9848,3.131284289,3.799829657,21.90337521,43.69357061
6723,1.28895171,0.996036142,2.628980337,1.707528272
8296,2.067147797,1.962205759,6.902252117,6.115003753
7965,1.844223636,1.24542342,5.323188788,2.474405621
9448,2.840338915,1.215553976,16.12156731,2.372161644
10634,4.036159277,2.975390294,55.60850715,18.59727045
8067,1.915934601,2.224169318,5.793284842,8.245799294
9343,2.768236535,1.926155452,14.93051632,5.863074039
1805,0.635085773,1.183202883,0.887184004,2.264814293
6666,1.274149207,1.195533945,2.575657971,2.30532216
8040,1.902552702,1.455230354,5.702983341,3.285470527
4977,0.972003489,0.646825834,1.64323485,0.909470224
2910,0.741053196,0.800351866,1.098144108,1.226324158
7741,1.705542754,2.076224355,4.504372377,6.974303863
9883,3.17045576,3.695651077,22.81833733,39.27178409
4193,0.878337452,0.820315687,1.4068948,1.271216718
4918,0.962640037,0.883370818,1.618600558,1.419040123
6061,1.14311509,1.095031318,2.136523717,1.9892763
5965,1.125305473,0.906146233,2.081157916,1.474766957
10770,4.313045752,3.241691374,73.66756184,24.57694536
8767,2.385968255,1.921431528,9.869582099,5.830729855
10635,4.037819449,3.82917168,55.70256507,45.02439951
8182,1.996765005,1.510182846,6.365191162,3.527558565
2085,0.663536766,0.745604474,0.941647357,1.107715109
399,0.386154043,0.829425939,0.471311299,1.292002613
9528,2.888710673,3.193198452,16.97012529,23.36623718
10726,4.191783013,3.717675181,65.14061547,40.16857329
3707,0.824783841,1.330928271,1.28138757,2.78455485
8676,2.320629287,2.160149139,9.182079741,7.67243096
5860,1.107744593,1.417098533,2.027522393,3.125134119
6720,1.288868328,1.602723237,2.628677758,3.966539088
8341,2.10256581,3.212078207,7.187149656,23.83063584
6114,1.15368037,1.046130851,2.169837643,1.846615803
5920,1.117503417,0.73014084,2.057212084,1.075372883
4610,0.923170988,1.063155648,1.517259949,1.895493747
900,0.498755114,0.633550004,0.646670078,0.88428795
6934,1.350400777,2.398409377,2.858971808,10.0056566
7580,1.624436777,1.369537701,4.07555956,2.933531807
1954,0.650500812,0.873332621,0.916500395,1.394878792
2390,0.694668508,0.677509396,1.00304497,0.968967701
8763,2.384548462,1.903566972,9.854160492,5.709785424
6459,1.219231039,1.070679287,2.38458412,1.917360552
9434,2.831839643,3.228949753,15.97666311,24.25312102
5967,1.125578025,1.355397181,2.081997806,2.878301038
9910,3.1986015,3.089154341,23.49824543,20.95850072
6429,1.212193129,0.698735156,2.360847348,1.011207235
107,0.258635566,0.527369805,0.295161718,0.694469657
6434,1.213377275,1.107800587,2.364829439,2.027691921
2417,0.696942968,0.631967951,1.007606001,0.881309263
6502,1.232552587,1.43761383,2.429973678,3.210636526
3693,0.82325167,0.762594587,1.27789477,1.143831368
6952,1.357063419,1.758162768,2.884768598,4.801768402
5703,1.078819675,1.271230201,1.941205923,2.565235822
10646,4.054701124,3.154257839,56.66792486,22.43563762
5206,1.004522925,0.725614093,1.730604259,1.065999426
6524,1.237541702,0.983689715,2.44712897,1.674305485
5697,1.077628395,0.812058907,1.937704209,1.252540988
1496,0.593956659,0.824733884,0.811140322,1.281273601
4372,0.898087241,0.832171789,1.45490298,1.298304757
2684,0.720305618,0.93639256,1.055061178,1.550763076
8832,2.426361683,2.954600303,10.31762996,18.19404938
2167,0.672426845,1.034049182,0.958985711,1.812430854
2319,0.68769165,0.725200018,0.989118648,1.065144125
10236,3.477566056,3.698259074,31.380813,39.37694986
10860,4.523004685,3.929810662,91.11194999,49.89733996
5013,0.977424378,0.708817152,1.65760244,1.031586779
3522,0.805760432,0.826516533,1.238398001,1.285343938
4411,0.90215887,0.763138584,1.46491881,1.144997923
10990,5.24070502,3.468323159,187.8031655,31.08289939
